Processes generated using the pseudo-random number generator and this command-line:

bash$ a.out 70 0.001 3000 10 8 0.5 80
Process A [NEW] (arrival time 2063 ms) 8 CPU bursts
--> CPU burst 239 ms --> I/O burst 784 ms
--> CPU burst 288 ms --> I/O burst 102 ms
--> CPU burst 995 ms --> I/O burst 122 ms
--> CPU burst 1447 ms --> I/O burst 1481 ms
--> CPU burst 214 ms --> I/O burst 319 ms
--> CPU burst 308 ms --> I/O burst 623 ms
--> CPU burst 1040 ms --> I/O burst 1893 ms
--> CPU burst 482 ms
Process B [NEW] (arrival time 839 ms) 9 CPU bursts
--> CPU burst 2247 ms --> I/O burst 2385 ms
--> CPU burst 1737 ms --> I/O burst 175 ms
--> CPU burst 1752 ms --> I/O burst 2917 ms
--> CPU burst 435 ms --> I/O burst 688 ms
--> CPU burst 1168 ms --> I/O burst 708 ms
--> CPU burst 13 ms --> I/O burst 120 ms
--> CPU burst 80 ms --> I/O burst 107 ms
--> CPU burst 2356 ms --> I/O burst 18 ms
--> CPU burst 896 ms
Process C [NEW] (arrival time 79 ms) 42 CPU bursts
--> CPU burst 525 ms --> I/O burst 1089 ms
--> CPU burst 574 ms --> I/O burst 1177 ms
--> CPU burst 1007 ms --> I/O burst 572 ms
--> CPU burst 191 ms --> I/O burst 320 ms
--> CPU burst 317 ms --> I/O burst 391 ms
--> CPU burst 1833 ms --> I/O burst 593 ms
--> CPU burst 501 ms --> I/O burst 290 ms
--> CPU burst 2254 ms --> I/O burst 1838 ms
--> CPU burst 2287 ms --> I/O burst 31 ms
--> CPU burst 728 ms --> I/O burst 179 ms
--> CPU burst 329 ms --> I/O burst 1074 ms
--> CPU burst 976 ms --> I/O burst 1313 ms
--> CPU burst 970 ms --> I/O burst 1331 ms
--> CPU burst 514 ms --> I/O burst 734 ms
--> CPU burst 762 ms --> I/O burst 677 ms
--> CPU burst 936 ms --> I/O burst 85 ms
--> CPU burst 93 ms --> I/O burst 1057 ms
--> CPU burst 1170 ms --> I/O burst 60 ms
--> CPU burst 528 ms --> I/O burst 1132 ms
--> CPU burst 15 ms --> I/O burst 665 ms
--> CPU burst 699 ms --> I/O burst 348 ms
--> CPU burst 1766 ms --> I/O burst 636 ms
--> CPU burst 1695 ms --> I/O burst 85 ms
--> CPU burst 1136 ms --> I/O burst 2595 ms
--> CPU burst 41 ms --> I/O burst 1545 ms
--> CPU burst 2501 ms --> I/O burst 1325 ms
--> CPU burst 654 ms --> I/O burst 468 ms
--> CPU burst 156 ms --> I/O burst 260 ms
--> CPU burst 897 ms --> I/O burst 233 ms
--> CPU burst 1673 ms --> I/O burst 290 ms
--> CPU burst 1061 ms --> I/O burst 955 ms
--> CPU burst 1359 ms --> I/O burst 790 ms
--> CPU burst 1371 ms --> I/O burst 779 ms
--> CPU burst 206 ms --> I/O burst 112 ms
--> CPU burst 479 ms --> I/O burst 624 ms
--> CPU burst 218 ms --> I/O burst 1617 ms
--> CPU burst 51 ms --> I/O burst 1582 ms
--> CPU burst 163 ms --> I/O burst 2019 ms
--> CPU burst 838 ms --> I/O burst 1026 ms
--> CPU burst 261 ms --> I/O burst 411 ms
--> CPU burst 169 ms --> I/O burst 859 ms
--> CPU burst 739 ms
Process D [NEW] (arrival time 455 ms) 86 CPU bursts
--> CPU burst 102 ms --> I/O burst 357 ms
--> CPU burst 524 ms --> I/O burst 1372 ms
--> CPU burst 1329 ms --> I/O burst 1720 ms
--> CPU burst 37 ms --> I/O burst 308 ms
--> CPU burst 1207 ms --> I/O burst 59 ms
--> CPU burst 226 ms --> I/O burst 25 ms
--> CPU burst 307 ms --> I/O burst 2003 ms
--> CPU burst 1309 ms --> I/O burst 1803 ms
--> CPU burst 116 ms --> I/O burst 413 ms
--> CPU burst 548 ms --> I/O burst 1631 ms
--> CPU burst 349 ms --> I/O burst 283 ms
--> CPU burst 254 ms --> I/O burst 166 ms
--> CPU burst 2078 ms --> I/O burst 757 ms
--> CPU burst 1078 ms --> I/O burst 484 ms
--> CPU burst 711 ms --> I/O burst 447 ms
--> CPU burst 1877 ms --> I/O burst 1175 ms
--> CPU burst 1543 ms --> I/O burst 503 ms
--> CPU burst 871 ms --> I/O burst 119 ms
--> CPU burst 2671 ms --> I/O burst 371 ms
--> CPU burst 1273 ms --> I/O burst 792 ms
--> CPU burst 1717 ms --> I/O burst 109 ms
--> CPU burst 719 ms --> I/O burst 182 ms
--> CPU burst 449 ms --> I/O burst 169 ms
--> CPU burst 2775 ms --> I/O burst 1273 ms
--> CPU burst 1068 ms --> I/O burst 2919 ms
--> CPU burst 114 ms --> I/O burst 896 ms
--> CPU burst 127 ms --> I/O burst 887 ms
--> CPU burst 418 ms --> I/O burst 172 ms
--> CPU burst 1815 ms --> I/O burst 189 ms
--> CPU burst 565 ms --> I/O burst 1881 ms
--> CPU burst 169 ms --> I/O burst 95 ms
--> CPU burst 917 ms --> I/O burst 2114 ms
--> CPU burst 258 ms --> I/O burst 2 ms
--> CPU burst 1385 ms --> I/O burst 2045 ms
--> CPU burst 219 ms --> I/O burst 1248 ms
--> CPU burst 264 ms --> I/O burst 1167 ms
--> CPU burst 145 ms --> I/O burst 334 ms
--> CPU burst 1133 ms --> I/O burst 125 ms
--> CPU burst 1133 ms --> I/O burst 1444 ms
--> CPU burst 1139 ms --> I/O burst 163 ms
--> CPU burst 829 ms --> I/O burst 108 ms
--> CPU burst 716 ms --> I/O burst 851 ms
--> CPU burst 180 ms --> I/O burst 277 ms
--> CPU burst 1104 ms --> I/O burst 540 ms
--> CPU burst 430 ms --> I/O burst 574 ms
--> CPU burst 2472 ms --> I/O burst 854 ms
--> CPU burst 444 ms --> I/O burst 18 ms
